user_input,reference,reference_contexts,reference_context_type,reference_context_path,persona_name,query_style,query_length,synthesizer_name
Can you invent a new method for Prompt Generaton?,"I am sorry, but the provided context does not contain information that would allow me to invent a new method for Prompt Generation.",['# [Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#artificial-intelligence) - [ Welcome!](#welcome) - [ Image Generation](#image-generation) - [ ChatGPT](#chatgpt) - [ Prompt Generation](#prompt-generation) - [ CS50.ai](#cs50ai) - [ Generative AI](#generative-ai) - [ Decision Trees](#decision-trees) - [ Minimax](#minimax) - [ Machine Learning](#machine-learning) - ['],chunk,/week-ai/week-ai-notes.md,Innovative Synthesizer,MISSPELLED,SHORT,single_hop_specifc_query_synthesizer
"Considering the provided context, what is the relationship between Generative AI and the other listed topics, and how might they be categorized?","Within the context provided, Generative AI is presented as a distinct topic, alongside others such as Artificial Intelligence, Image Generation, ChatGPT, Prompt Generation, CS50.ai, Decision Trees, Minimax, and Machine Learning. The relationship between Generative AI and these other topics can be understood through categorization. Generative AI, Image Generation, ChatGPT, Prompt Generation, and CS50.ai all fall under the broader umbrella of Artificial Intelligence. Machine Learning is a field that enables the development of Generative AI models. Decision Trees and Minimax are likely related to specific AI techniques or algorithms, potentially used within the broader context of AI and, possibly, in the development or application of Generative AI systems. Therefore, we can categorize these topics as follows: Artificial Intelligence (the overarching field), Machine Learning (a subfield and enabler), and specific applications or techniques within AI, including Generative AI, Image Generation, ChatGPT, Prompt Generation, CS50.ai, Decision Trees, and Minimax.",['# [Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#artificial-intelligence) - [ Welcome!](#welcome) - [ Image Generation](#image-generation) - [ ChatGPT](#chatgpt) - [ Prompt Generation](#prompt-generation) - [ CS50.ai](#cs50ai) - [ Generative AI](#generative-ai) - [ Decision Trees](#decision-trees) - [ Minimax](#minimax) - [ Machine Learning](#machine-learning) - ['],chunk,/week-ai/week-ai-notes.md,Analytical Deconstructor,PERFECT_GRAMMAR,LONG,single_hop_specifc_query_synthesizer
What is Artifical Intellgence?,"I am sorry, but the provided context does not contain a definition of Artificial Intelligence. It only lists it as a topic with links to other related topics such as Image Generation, ChatGPT, and Machine Learning.",['# [Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#artificial-intelligence) - [ Welcome!](#welcome) - [ Image Generation](#image-generation) - [ ChatGPT](#chatgpt) - [ Prompt Generation](#prompt-generation) - [ CS50.ai](#cs50ai) - [ Generative AI](#generative-ai) - [ Decision Trees](#decision-trees) - [ Minimax](#minimax) - [ Machine Learning](#machine-learning) - ['],chunk,/week-ai/week-ai-notes.md,Novice Recaller,MISSPELLED,MEDIUM,single_hop_specifc_query_synthesizer
What is Minimax?,Minimax is a term mentioned in the context.,['# [Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#artificial-intelligence) - [ Welcome!](#welcome) - [ Image Generation](#image-generation) - [ ChatGPT](#chatgpt) - [ Prompt Generation](#prompt-generation) - [ CS50.ai](#cs50ai) - [ Generative AI](#generative-ai) - [ Decision Trees](#decision-trees) - [ Minimax](#minimax) - [ Machine Learning](#machine-learning) - ['],chunk,/week-ai/week-ai-notes.md,Novice Recaller,WEB_SEARCH_LIKE,SHORT,single_hop_specifc_query_synthesizer
How effective is ChatGPT as a tool?,"ChatGPT is mentioned within the context of Artificial Intelligence, specifically in a section alongside other AI-related topics such as Image Generation, Prompt Generation, and Generative AI. The context does not provide information to evaluate its effectiveness.",['# [Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#artificial-intelligence) - [ Welcome!](#welcome) - [ Image Generation](#image-generation) - [ ChatGPT](#chatgpt) - [ Prompt Generation](#prompt-generation) - [ CS50.ai](#cs50ai) - [ Generative AI](#generative-ai) - [ Decision Trees](#decision-trees) - [ Minimax](#minimax) - [ Machine Learning](#machine-learning) - ['],chunk,/week-ai/week-ai-notes.md,Critical Judge,PERFECT_GRAMMAR,SHORT,single_hop_specifc_query_synthesizer
How can I design a new AI project that utilizes Decision Trees?,"I can't provide a detailed plan for an AI project using Decision Trees based on the provided context. The context only mentions ""Decision Trees"" as a topic within a broader list of AI-related subjects. It doesn't offer any information about how to design or implement a project using Decision Trees, nor does it provide any details about their functionality or application.",['# [Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#artificial-intelligence) - [ Welcome!](#welcome) - [ Image Generation](#image-generation) - [ ChatGPT](#chatgpt) - [ Prompt Generation](#prompt-generation) - [ CS50.ai](#cs50ai) - [ Generative AI](#generative-ai) - [ Decision Trees](#decision-trees) - [ Minimax](#minimax) - [ Machine Learning](#machine-learning) - ['],chunk,/week-ai/week-ai-notes.md,Innovative Synthesizer,WEB_SEARCH_LIKE,MEDIUM,single_hop_specifc_query_synthesizer
What are the topics covered in the context related to Artificial Intelligence?,"The context covers the following topics related to Artificial Intelligence: Image Generation, ChatGPT, Prompt Generation, CS50.ai, Generative AI, Decision Trees, Minimax, and Machine Learning.",['# [Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#artificial-intelligence) - [ Welcome!](#welcome) - [ Image Generation](#image-generation) - [ ChatGPT](#chatgpt) - [ Prompt Generation](#prompt-generation) - [ CS50.ai](#cs50ai) - [ Generative AI](#generative-ai) - [ Decision Trees](#decision-trees) - [ Minimax](#minimax) - [ Machine Learning](#machine-learning) - ['],chunk,/week-ai/week-ai-notes.md,Novice Recaller,PERFECT_GRAMMAR,LONG,single_hop_specifc_query_synthesizer
Can you describe what prompt generation is?,"Prompt generation is the method by which a person communicates with an AI platform. It involves using a system prompt to teach the AI how to interact with users, and then using user prompts, which are the inputs provided by the users themselves, to interact with the AI.","[""Deep Learning](#deep-learning) - [Generative Artificial Intelligence](#generative-artificial-intelligence) - [Summing Up](#summing-up) ## [Welcome!](https://cs50.harvard.edu/x/2024/notes/ai/#welcome) - In computer science and programming circles, _rubber ducking_ or _rubber duck debugging_ is the act of speaking to an inanimate object to be able to _talk through_ a challenging problem. - Most recently, CS50 created our own rubber duck debugger at [cs50.ai](https://cs50.ai), which uses artificial intelligence as a way by which to interact with students to help them with their own challenging problems. - Students engaging with this tool can begin understanding the potential of what AI can offer the world. ## [Image Generation](https://cs50.harvard.edu/x/2024/notes/ai/#image-generation) - Numerous AI tools have created the potential for artificially generated images to enter the world. - Up until recently, most of these tools had numerous tells that might indicate to an observer that an image is AI-generated. - However, tools are becoming exceedingly good at generating these images. - Indeed, as technology improves, it will soon be almost, if not entirely, impossible for such images to be detected with the naked eye. - Software has also gained the ability to mutate individual images within video. ## [ChatGPT](https://cs50.harvard.edu/x/2024/notes/ai/#chatgpt) - A very well-known bleeding-edge tool is the text generation tool _chatGPT_. - In CS50, we do not allow the use of ChatGPT. However, we do allow the use of our own rubber duck debugger at [cs50.ai](https://cs50.ai). - In CS50, we leverage the tools of Azure and OpenAI, along with our own vector database that holds very recent information from our most recent lectures and offerings, to provide our rubber duck debugger toll. ## [Prompt Generation](https://cs50.harvard.edu/x/2024/notes/ai/#prompt-generation) - _Prompt generation_ is the way by which an individual can communicate with an AI platform. - We use a _system prompt_ to teach the AI how to interact with users. We teach the AI how to work with students. - _User prompts_ are those provided by users to interact with the AI. With these prompts, students interact with the AI. ## [CS50.ai](https://cs50.harvard.edu/x/2024/notes/ai/#cs50ai) - Our [rubber duck debugger](https://cs50.ai) can provide conceptual help with computer science concepts. - Further, the [rubber duck debugger](https://cs50.ai) can help students write more efficient code. - Additionally, the [rubber duck debugger](https://cs50.ai) can help when a student is stuck in one of their assignments. For example, students may encounter errors that prevent them from progressing in their assignments. When students hit a wall, they don’t have to wait for support staff to be available. - The [rubber duck debugger](https://cs50.ai) does stipulate, however, that it is an AI and that it is experimental. Students should be conscious of the degree to which they blindly trust the AI. Consider the following image: ![rubber duck giving an answer with a disclaimer](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide060.png) - AI has an inhuman level of patience. ## [Generative AI](https://cs50.harvard.edu/x/2024/notes/ai/#generative-ai) - AI has been with us for much time! Software has long adapted to users. Algorithms look for patterns in junk mail, images saved on your phone, and to play games. - In games, for example, step-by-step instructions may allow a computerized adversary play a game of Breakout. ## [Decision Trees](https://cs50.harvard.edu/x/2024/notes/ai/#decision-trees) - _Decision trees_ are used by an algorithm to decide what decision to make. - For example, in Breakout, an algorithm may consider what choice to make based on the instructions in the code: ``` While game is ongoing: If ball is left of paddle: Move paddle left Else if ball is right of padding: Move paddle right Else: Don't move paddle ``` - With most games, they attempt to minimize the number of calculations required to compete with the player. ## [Minimax](https://cs50.harvard.edu/x/2024/notes/ai/#minimax) - You can imagine where an algorithm may score outcomes as positive, negative, and neutral. - In tic-tac-toe, the AI may consider a board where the computer wins as `1` and one where the computer loses as `-1`. - You can imagine how a computer may look at a decision tree of potential outcomes and assign scores to each potential move. - The computer will attempt to win by maximizing its own score. - In the context of tic-tac-toe, the algorithm may conceptualize this as follows: ``` If player is X: For each possible move: Calculate score for board Choose move with highest score Else if player is O: For each possible move: Calculate score for board Choose move with lowest score ``` - This could be pictured as follows: ![tictactoe with outcomes as 1 or -1 or 0](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide132.png) - Because computers are so powerful, they can crunch massive potential outcomes. However, the computers in our pockets or on our desks may not be able to calculate trillions of options. This is where machine learning can help. ## [Machine Learning](https://cs50.harvard.edu/x/2024/notes/ai/#machine-learning) - Machine learning is a way by which a computer can learn through reinforcement. - A computer can learn how to flip a pancake. - A computer can learn how to play Mario. - A computer can learn how to play The Floor is Lava. - The computer repeats trial after trial after trial to discover what behaviors to repeat and those not to repeat. - Within much of AI-based algorithms, there are concepts of _explore vs. exploit_, where the AI may randomly try something that may not be considered optimal. Randomness can yield better outcomes. ## [Deep Learning](https://cs50.harvard.edu/x/2024/notes/ai/#deep-learning) - _Deep learning_ uses neural networks whereby problems and solutions are explored. - For example, deep learning may attempt to predict whether a blue or red dot will appear somewhere on a graph. Consider the following image: ![blue dots and red dots separated by a line](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide208.png) - Existing training data is used to predict an outcome. Further, more training data may be created by the AI to discover further patterns. - Deep learning creates nodes (pictured below), which associate inputs and outputs. ![Nodes connected to notes](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide210.png) ## [Generative Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#generative-artificial-intelligence) - _Large language models_ are massive models that make predictions based on huge amounts of training. - Just a few years ago, AI was not very good at completing and generating sentences. - The AI encodes words into _embeddings_ to find relationships between words. Thus, through a huge amount of training, a massive neural network can predict the association between words - resulting in the ability for generative AI to generate content and even have conversations with users. - These technologies are what is behind our [rubber duck debugger](https://cs50.ai). ## [Summing Up](https://cs50.harvard.edu/x/2024/notes/ai/#summing-up) In this lesson, you learned about some of the technology behind our own [rubber duck debugger](https://cs50.ai). Specifically, we discussed… - Image Generation - ChatGPT - Prompt Generation - CS50.ai - Generative AI - Decision Trees - Minimax - Machine Learning - Deep Learning - Generative Artificial Intelligence This was CS50!""]",chunk,/week-ai/week-ai-notes.md,Conceptual Comprehender,MISSPELLED,SHORT,single_hop_specifc_query_synthesizer
What is prompt generation?,"Prompt generation is the method by which an individual communicates with an AI platform. We use a system prompt to teach the AI how to interact with users, and user prompts are provided by users to interact with the AI.","[""Deep Learning](#deep-learning) - [Generative Artificial Intelligence](#generative-artificial-intelligence) - [Summing Up](#summing-up) ## [Welcome!](https://cs50.harvard.edu/x/2024/notes/ai/#welcome) - In computer science and programming circles, _rubber ducking_ or _rubber duck debugging_ is the act of speaking to an inanimate object to be able to _talk through_ a challenging problem. - Most recently, CS50 created our own rubber duck debugger at [cs50.ai](https://cs50.ai), which uses artificial intelligence as a way by which to interact with students to help them with their own challenging problems. - Students engaging with this tool can begin understanding the potential of what AI can offer the world. ## [Image Generation](https://cs50.harvard.edu/x/2024/notes/ai/#image-generation) - Numerous AI tools have created the potential for artificially generated images to enter the world. - Up until recently, most of these tools had numerous tells that might indicate to an observer that an image is AI-generated. - However, tools are becoming exceedingly good at generating these images. - Indeed, as technology improves, it will soon be almost, if not entirely, impossible for such images to be detected with the naked eye. - Software has also gained the ability to mutate individual images within video. ## [ChatGPT](https://cs50.harvard.edu/x/2024/notes/ai/#chatgpt) - A very well-known bleeding-edge tool is the text generation tool _chatGPT_. - In CS50, we do not allow the use of ChatGPT. However, we do allow the use of our own rubber duck debugger at [cs50.ai](https://cs50.ai). - In CS50, we leverage the tools of Azure and OpenAI, along with our own vector database that holds very recent information from our most recent lectures and offerings, to provide our rubber duck debugger toll. ## [Prompt Generation](https://cs50.harvard.edu/x/2024/notes/ai/#prompt-generation) - _Prompt generation_ is the way by which an individual can communicate with an AI platform. - We use a _system prompt_ to teach the AI how to interact with users. We teach the AI how to work with students. - _User prompts_ are those provided by users to interact with the AI. With these prompts, students interact with the AI. ## [CS50.ai](https://cs50.harvard.edu/x/2024/notes/ai/#cs50ai) - Our [rubber duck debugger](https://cs50.ai) can provide conceptual help with computer science concepts. - Further, the [rubber duck debugger](https://cs50.ai) can help students write more efficient code. - Additionally, the [rubber duck debugger](https://cs50.ai) can help when a student is stuck in one of their assignments. For example, students may encounter errors that prevent them from progressing in their assignments. When students hit a wall, they don’t have to wait for support staff to be available. - The [rubber duck debugger](https://cs50.ai) does stipulate, however, that it is an AI and that it is experimental. Students should be conscious of the degree to which they blindly trust the AI. Consider the following image: ![rubber duck giving an answer with a disclaimer](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide060.png) - AI has an inhuman level of patience. ## [Generative AI](https://cs50.harvard.edu/x/2024/notes/ai/#generative-ai) - AI has been with us for much time! Software has long adapted to users. Algorithms look for patterns in junk mail, images saved on your phone, and to play games. - In games, for example, step-by-step instructions may allow a computerized adversary play a game of Breakout. ## [Decision Trees](https://cs50.harvard.edu/x/2024/notes/ai/#decision-trees) - _Decision trees_ are used by an algorithm to decide what decision to make. - For example, in Breakout, an algorithm may consider what choice to make based on the instructions in the code: ``` While game is ongoing: If ball is left of paddle: Move paddle left Else if ball is right of padding: Move paddle right Else: Don't move paddle ``` - With most games, they attempt to minimize the number of calculations required to compete with the player. ## [Minimax](https://cs50.harvard.edu/x/2024/notes/ai/#minimax) - You can imagine where an algorithm may score outcomes as positive, negative, and neutral. - In tic-tac-toe, the AI may consider a board where the computer wins as `1` and one where the computer loses as `-1`. - You can imagine how a computer may look at a decision tree of potential outcomes and assign scores to each potential move. - The computer will attempt to win by maximizing its own score. - In the context of tic-tac-toe, the algorithm may conceptualize this as follows: ``` If player is X: For each possible move: Calculate score for board Choose move with highest score Else if player is O: For each possible move: Calculate score for board Choose move with lowest score ``` - This could be pictured as follows: ![tictactoe with outcomes as 1 or -1 or 0](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide132.png) - Because computers are so powerful, they can crunch massive potential outcomes. However, the computers in our pockets or on our desks may not be able to calculate trillions of options. This is where machine learning can help. ## [Machine Learning](https://cs50.harvard.edu/x/2024/notes/ai/#machine-learning) - Machine learning is a way by which a computer can learn through reinforcement. - A computer can learn how to flip a pancake. - A computer can learn how to play Mario. - A computer can learn how to play The Floor is Lava. - The computer repeats trial after trial after trial to discover what behaviors to repeat and those not to repeat. - Within much of AI-based algorithms, there are concepts of _explore vs. exploit_, where the AI may randomly try something that may not be considered optimal. Randomness can yield better outcomes. ## [Deep Learning](https://cs50.harvard.edu/x/2024/notes/ai/#deep-learning) - _Deep learning_ uses neural networks whereby problems and solutions are explored. - For example, deep learning may attempt to predict whether a blue or red dot will appear somewhere on a graph. Consider the following image: ![blue dots and red dots separated by a line](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide208.png) - Existing training data is used to predict an outcome. Further, more training data may be created by the AI to discover further patterns. - Deep learning creates nodes (pictured below), which associate inputs and outputs. ![Nodes connected to notes](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide210.png) ## [Generative Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#generative-artificial-intelligence) - _Large language models_ are massive models that make predictions based on huge amounts of training. - Just a few years ago, AI was not very good at completing and generating sentences. - The AI encodes words into _embeddings_ to find relationships between words. Thus, through a huge amount of training, a massive neural network can predict the association between words - resulting in the ability for generative AI to generate content and even have conversations with users. - These technologies are what is behind our [rubber duck debugger](https://cs50.ai). ## [Summing Up](https://cs50.harvard.edu/x/2024/notes/ai/#summing-up) In this lesson, you learned about some of the technology behind our own [rubber duck debugger](https://cs50.ai). Specifically, we discussed… - Image Generation - ChatGPT - Prompt Generation - CS50.ai - Generative AI - Decision Trees - Minimax - Machine Learning - Deep Learning - Generative Artificial Intelligence This was CS50!""]",chunk,/week-ai/week-ai-notes.md,Novice Recaller,MISSPELLED,MEDIUM,single_hop_specifc_query_synthesizer
"How effective are Decision Trees in helping an algorithm make decisions, and what are some examples?","Decision trees are used by algorithms to make decisions. For example, in the game Breakout, an algorithm might use a decision tree to determine the paddle's movement. The algorithm considers instructions in the code, such as: ""While game is ongoing: If ball is left of paddle: Move paddle left Else if ball is right of padding: Move paddle right Else: Don't move paddle.""","[""Deep Learning](#deep-learning) - [Generative Artificial Intelligence](#generative-artificial-intelligence) - [Summing Up](#summing-up) ## [Welcome!](https://cs50.harvard.edu/x/2024/notes/ai/#welcome) - In computer science and programming circles, _rubber ducking_ or _rubber duck debugging_ is the act of speaking to an inanimate object to be able to _talk through_ a challenging problem. - Most recently, CS50 created our own rubber duck debugger at [cs50.ai](https://cs50.ai), which uses artificial intelligence as a way by which to interact with students to help them with their own challenging problems. - Students engaging with this tool can begin understanding the potential of what AI can offer the world. ## [Image Generation](https://cs50.harvard.edu/x/2024/notes/ai/#image-generation) - Numerous AI tools have created the potential for artificially generated images to enter the world. - Up until recently, most of these tools had numerous tells that might indicate to an observer that an image is AI-generated. - However, tools are becoming exceedingly good at generating these images. - Indeed, as technology improves, it will soon be almost, if not entirely, impossible for such images to be detected with the naked eye. - Software has also gained the ability to mutate individual images within video. ## [ChatGPT](https://cs50.harvard.edu/x/2024/notes/ai/#chatgpt) - A very well-known bleeding-edge tool is the text generation tool _chatGPT_. - In CS50, we do not allow the use of ChatGPT. However, we do allow the use of our own rubber duck debugger at [cs50.ai](https://cs50.ai). - In CS50, we leverage the tools of Azure and OpenAI, along with our own vector database that holds very recent information from our most recent lectures and offerings, to provide our rubber duck debugger toll. ## [Prompt Generation](https://cs50.harvard.edu/x/2024/notes/ai/#prompt-generation) - _Prompt generation_ is the way by which an individual can communicate with an AI platform. - We use a _system prompt_ to teach the AI how to interact with users. We teach the AI how to work with students. - _User prompts_ are those provided by users to interact with the AI. With these prompts, students interact with the AI. ## [CS50.ai](https://cs50.harvard.edu/x/2024/notes/ai/#cs50ai) - Our [rubber duck debugger](https://cs50.ai) can provide conceptual help with computer science concepts. - Further, the [rubber duck debugger](https://cs50.ai) can help students write more efficient code. - Additionally, the [rubber duck debugger](https://cs50.ai) can help when a student is stuck in one of their assignments. For example, students may encounter errors that prevent them from progressing in their assignments. When students hit a wall, they don’t have to wait for support staff to be available. - The [rubber duck debugger](https://cs50.ai) does stipulate, however, that it is an AI and that it is experimental. Students should be conscious of the degree to which they blindly trust the AI. Consider the following image: ![rubber duck giving an answer with a disclaimer](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide060.png) - AI has an inhuman level of patience. ## [Generative AI](https://cs50.harvard.edu/x/2024/notes/ai/#generative-ai) - AI has been with us for much time! Software has long adapted to users. Algorithms look for patterns in junk mail, images saved on your phone, and to play games. - In games, for example, step-by-step instructions may allow a computerized adversary play a game of Breakout. ## [Decision Trees](https://cs50.harvard.edu/x/2024/notes/ai/#decision-trees) - _Decision trees_ are used by an algorithm to decide what decision to make. - For example, in Breakout, an algorithm may consider what choice to make based on the instructions in the code: ``` While game is ongoing: If ball is left of paddle: Move paddle left Else if ball is right of padding: Move paddle right Else: Don't move paddle ``` - With most games, they attempt to minimize the number of calculations required to compete with the player. ## [Minimax](https://cs50.harvard.edu/x/2024/notes/ai/#minimax) - You can imagine where an algorithm may score outcomes as positive, negative, and neutral. - In tic-tac-toe, the AI may consider a board where the computer wins as `1` and one where the computer loses as `-1`. - You can imagine how a computer may look at a decision tree of potential outcomes and assign scores to each potential move. - The computer will attempt to win by maximizing its own score. - In the context of tic-tac-toe, the algorithm may conceptualize this as follows: ``` If player is X: For each possible move: Calculate score for board Choose move with highest score Else if player is O: For each possible move: Calculate score for board Choose move with lowest score ``` - This could be pictured as follows: ![tictactoe with outcomes as 1 or -1 or 0](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide132.png) - Because computers are so powerful, they can crunch massive potential outcomes. However, the computers in our pockets or on our desks may not be able to calculate trillions of options. This is where machine learning can help. ## [Machine Learning](https://cs50.harvard.edu/x/2024/notes/ai/#machine-learning) - Machine learning is a way by which a computer can learn through reinforcement. - A computer can learn how to flip a pancake. - A computer can learn how to play Mario. - A computer can learn how to play The Floor is Lava. - The computer repeats trial after trial after trial to discover what behaviors to repeat and those not to repeat. - Within much of AI-based algorithms, there are concepts of _explore vs. exploit_, where the AI may randomly try something that may not be considered optimal. Randomness can yield better outcomes. ## [Deep Learning](https://cs50.harvard.edu/x/2024/notes/ai/#deep-learning) - _Deep learning_ uses neural networks whereby problems and solutions are explored. - For example, deep learning may attempt to predict whether a blue or red dot will appear somewhere on a graph. Consider the following image: ![blue dots and red dots separated by a line](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide208.png) - Existing training data is used to predict an outcome. Further, more training data may be created by the AI to discover further patterns. - Deep learning creates nodes (pictured below), which associate inputs and outputs. ![Nodes connected to notes](https://cs50.harvard.edu/x/2024/notes/ai/cs50AiLectureSlide210.png) ## [Generative Artificial Intelligence](https://cs50.harvard.edu/x/2024/notes/ai/#generative-artificial-intelligence) - _Large language models_ are massive models that make predictions based on huge amounts of training. - Just a few years ago, AI was not very good at completing and generating sentences. - The AI encodes words into _embeddings_ to find relationships between words. Thus, through a huge amount of training, a massive neural network can predict the association between words - resulting in the ability for generative AI to generate content and even have conversations with users. - These technologies are what is behind our [rubber duck debugger](https://cs50.ai). ## [Summing Up](https://cs50.harvard.edu/x/2024/notes/ai/#summing-up) In this lesson, you learned about some of the technology behind our own [rubber duck debugger](https://cs50.ai). Specifically, we discussed… - Image Generation - ChatGPT - Prompt Generation - CS50.ai - Generative AI - Decision Trees - Minimax - Machine Learning - Deep Learning - Generative Artificial Intelligence This was CS50!""]",chunk,/week-ai/week-ai-notes.md,Critical Judge,POOR_GRAMMAR,MEDIUM,single_hop_specifc_query_synthesizer
